date,next_date,current_close,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,close_to_ma_5,close_to_ma_10,close_to_ma_20,close_to_ma_60,volatility_5d,volatility_10d,volatility_20d,volume_to_ma_5,volume_to_ma_10,volume_to_ma_20,intraday_return,open_gap_return,intraday_range,close_position_in_range,rsi_14,rsi_change_1d,macd,macd_signal,macd_hist,macd_change_1d,macd_signal_change_1d,macd_hist_change_1d,foreign_ownership_pct,foreign_ownership_change_1d,day_of_week,month,target_next_open,target_next_close,target_next_open_return,target_next_close_return
2018-08-28,2018-08-29,46550.0,0.005399568034557323,0.008667388949079147,0.007575757575757569,0.0390625,0.03329633740288562,0.0010752688172042113,0.006268914829226091,0.02657404344470171,0.018376722817764257,-0.003869679191112252,0.010837415308154337,0.012998788724776313,0.013843823884013009,0.9799124738155918,0.947996007644533,0.8625298926100531,-0.005341880341880323,0.010799136069114423,0.013963480128893663,0.38461538461538464,54.652427,1.8984330000000043,-137.545065,-341.211965,203.666901,88.29424900000001,50.916724999999985,37.377523999999994,52.54,0.00999999999999801,1,8,46750.0,46800.0,0.004296455424275036,0.005370569280343629
2018-08-29,2018-08-30,46800.0,0.005370569280343629,0.010799136069114423,0.014084507042253502,0.015184381778741818,0.03654485049833878,0.011891891891891992,0.008620689655172376,0.028345418589321048,0.02323039081716316,0.0030900030364191533,0.002399702599629163,0.013005402849382166,0.013827461270837841,0.8840664071442748,0.7249690624084784,0.6620455377870277,0.0010695187165774556,0.004296455424275036,0.008547008547008548,1.0,56.53335,1.8809229999999957,-46.858174,-282.341207,235.483033,90.686891,58.87075800000002,31.81613200000001,52.56,0.020000000000003126,2,8,46950.0,47650.0,0.0032051282051281937,0.018162393162393098
2018-08-30,2018-08-31,47650.0,0.018162393162393098,0.023630504833512367,0.029157667386608965,0.031385281385281294,0.07683615819209044,0.023630504833512367,0.02056114799742992,0.03925845147219187,0.04056341103892569,0.02256876140062225,0.0064211768017951665,0.010947294139994459,0.014298444912056382,1.6487187833121288,1.5440604230949326,1.4092406898895917,0.014909478168264156,0.0032051282051281937,0.026232948583420776,0.76,62.264373,5.731023,92.533074,-207.366351,299.899424,139.391248,74.97485599999999,64.416391,52.64,0.0799999999999983,3,8,47100.0,48450.0,-0.011542497376705096,0.016789087093389332
2018-08-31,2018-09-03,48450.0,0.016789087093389332,0.03525641025641035,0.04081632653061229,0.04983748645720487,0.09863945578231292,0.06366630076838642,0.0275715800636267,0.0467754132008209,0.0546938775510204,0.04079769427686575,0.006334972921695038,0.010610568933012071,0.013672570537505703,1.5438462812150515,1.5836107310095533,1.5250138784876281,0.02866242038216571,-0.011542497376705096,0.029927760577915376,1.0,66.712823,4.448450000000001,264.505896,-112.991901,377.497797,171.972822,94.37445000000001,77.59837299999998,52.69,0.04999999999999716,4,8,48200.0,47450.0,-0.00515995872033026,-0.02063983488132093
2018-09-03,2018-09-04,47450.0,-0.02063983488132093,-0.0041972717733472775,0.01388888888888884,0.024838012958963374,0.08209806157354627,0.0371584699453551,0.0014774166314901471,0.017258012648729837,0.031017437123146196,0.02046668339366997,0.013927870903497432,0.013349004361764413,0.014617795178232952,0.9084921336342824,0.9874494619228503,0.9636636215604931,-0.01556016597510368,-0.00515995872033026,0.02107481559536354,0.15,57.576034,-9.136789,316.456046,-27.102312,343.558358,51.95015000000001,85.889589,-33.93943899999999,52.66,-0.030000000000001137,0,9,47550.0,47650.0,0.0021074815595363283,0.004214963119072657
2018-09-04,2018-09-05,47650.0,0.004214963119072657,-0.016511867905056765,0.0,0.023630504833512367,0.0636160714285714,0.04039301310043664,0.0010504201680672232,0.015341998721500216,0.033286349344031185,0.02550306682449155,0.013929412493869208,0.012567676556492489,0.014624659659050916,0.726657659916783,0.8054692761657829,0.761339653220399,0.002103049421661396,0.0021074815595363283,0.012591815320041973,0.75,58.791617,1.2155830000000023,369.505809,52.219312,317.286497,53.049762999999984,79.321624,-26.271861,52.67,0.010000000000005116,1,9,47300.0,46600.0,-0.007345225603357819,-0.022035676810073457
2018-09-05,2018-09-06,46600.0,-0.022035676810073457,-0.017913593256059013,-0.03818369453044379,-0.004273504273504258,0.010845986984815648,-0.0021413276231263545,-0.020185029436501245,-0.00808854831843342,0.01062676209065283,0.004093945270415844,0.017542080886976164,0.012657302208029563,0.014940409205371047,0.9086023025379116,1.1171869880640768,1.0241778295818142,-0.014799154334038,-0.007345225603357819,0.022532188841201718,0.19047619047619047,50.595159,-8.196458,323.097438,106.394937,216.702501,-46.40837099999999,54.175625,-100.58399599999998,52.66,-0.010000000000005116,2,9,46200.0,46100.0,-0.008583690987124415,-0.010729613733905574
2018-09-06,2018-09-07,46100.0,-0.010729613733905574,-0.03252885624344182,-0.028451001053740765,-0.03252885624344182,-0.0021645021645021467,-0.014957264957264904,-0.024338624338624326,-0.018522461145412006,0.0005425935973955021,-0.005501024700679591,0.01494236843221298,0.013136875857957347,0.01511074799656661,0.9588162898183501,1.0746923506865165,0.9984276554611522,-0.0021645021645021467,-0.008583690987124415,0.013015184381778741,0.5,47.219217,-3.375942000000002,243.169541,133.749858,109.419683,-79.927897,27.35492099999999,-107.282818,52.65,-0.00999999999999801,3,9,44500.0,44900.0,-0.03470715835141003,-0.026030368763557465
2018-09-07,2018-09-10,44900.0,-0.026030368763557465,-0.03648068669527893,-0.057712486883525704,-0.0732714138286894,-0.02708559046587211,-0.04264392324093813,-0.035238504512247526,-0.0415199060732202,-0.02338227297444262,-0.030237580993520474,0.01086663517803792,0.01527564701114884,0.01606868202750051,1.763226842469272,1.908214659367057,1.9518029918349922,0.008988764044943753,-0.03470715835141003,0.017817371937639197,0.625,40.273715,-6.945501999999998,82.050311,123.409949,-41.359638,-161.11923000000002,-10.339908999999992,-150.779321,52.54,-0.10999999999999943,4,9,45450.0,45500.0,0.012249443207126953,0.013363028953229383
2018-09-10,2018-09-11,45500.0,0.013363028953229383,-0.013015184381778733,-0.023605150214592308,-0.04109589041095896,-0.017278617710583144,0.0022026431718060735,-0.014084507042253502,-0.027050144338714888,-0.010439321444106087,-0.01651746311940483,0.01506541071302537,0.01595093303011947,0.014836717456293091,0.9373001395717035,0.992611084059202,1.1046998980327731,0.0011001100110010764,0.012249443207126953,0.012087912087912088,0.9090909090909091,44.657024,4.383308999999997,2.745498,99.277059,-96.531561,-79.304813,-24.132890000000003,-55.171923,52.57,0.030000000000001137,0,9,45550.0,45050.0,0.001098901098901095,-0.009890109890109855
2018-09-11,2018-09-12,45050.0,-0.009890109890109855,0.0033407572383072903,-0.022776572668112838,-0.05456453305351516,-0.03222341568206233,0.0,-0.012710935787858868,-0.0335728842647216,-0.020226185297955612,-0.025700176621129667,0.013729817625421406,0.015938198340279854,0.0149024623069932,0.8759984406078972,0.9574617736216579,1.091701195199792,-0.010976948408342513,0.001098901098901095,0.018867924528301886,0.0,42.158043,-2.4989810000000006,-95.316627,60.358321,-155.674948,-98.062125,-38.918738,-59.143387000000004,52.56,-0.00999999999999801,1,9,44900.0,44550.0,-0.0033296337402886067,-0.011098779134295245
