"날짜","종가","시가","고가","저가","거래량","변동 %","RSI(14)","MACD(12,26)","MACD_SIGNAL(9)","MACD_HIST"
"2025- 11- 11","103,500","103,700","106,000","102,000","27.35M","2.88%","60.4070","3910.0144","4852.8248","-942.8104"
"2025- 11- 10","100,600","98,600","101,000","97,900","23.42M","2.76%","56.6716","3991.1182","5088.5274","-1097.4092"
"2025- 11- 07","97,900","96,400","100,300","96,300","22.88M","-1.31%","52.8236","4331.8563","5362.8797","-1031.0233"
"2025- 11- 06","99,200","103,700","103,800","98,800","28.49M","-1.39%","55.0077","4978.6623","5620.6355","-641.9732"
"2025- 11- 05","100,600","101,000","102,000","96,700","44.83M","-4.10%","57.3803","5599.4415","5781.1288","-181.6873"
"2025- 11- 04","104,900","111,800","112,400","104,900","30.44M","-5.58%","65.4287","6167.7895","5826.5506","341.2389"
"2025- 11- 03","111,100","106,900","111,500","106,500","29.95M","3.35%","80.5570","6365.6768","5741.2409","624.4359"
"2025- 10- 31","107,500","105,000","108,600","103,300","36.69M","3.27%","77.7879","5894.3885","5585.1319","309.2566"
"2025- 10- 30","104,100","102,400","105,800","102,000","34.37M","3.58%","74.6176","5573.6622","5507.8178","65.8444"
"2025- 10- 29","100,500","100,200","101,000","99,100","20.65M","1.01%","70.4743","5429.4091","5491.3567","-61.9475"
"2025- 10- 28","99,500","100,900","101,000","99,100","19.83M","-2.45%","69.1765","5532.8620","5506.8436","26.0185"
"2025- 10- 27","102,000","101,300","102,000","100,600","22.10M","3.24%","77.0373","5686.2458","5500.3390","185.9068"
"2025- 10- 24","98,800","97,900","99,000","97,700","18.57M","2.38%","73.4516","5544.7647","5453.8623","90.9024"
"2025- 10- 23","96,500","96,800","98,500","96,300","18.26M","-2.13%","70.3629","5609.3504","5431.1367","178.2137"
"2025- 10- 22","98,600","97,100","98,600","95,500","15.53M","1.13%","78.0629","5844.3765","5386.5832","457.7933"
"2025- 10- 21","97,500","98,500","99,900","97,300","22.74M","-0.61%","76.8296","5845.5281","5272.1349","573.3932"
"2025- 10- 20","98,100","97,900","98,300","96,000","17.56M","0.20%","79.0814","5873.9720","5128.7866","745.1854"
"2025- 10- 17","97,900","97,200","99,100","96,700","22.19M","0.20%","78.8899","5763.7462","4942.4903","821.2560"
"2025- 10- 16","97,700","95,300","97,700","95,000","26.45M","2.84%","78.7089","5559.5855","4737.1763","822.4092"
"2025- 10- 15","95,000","92,300","95,300","92,100","20.92M","3.71%","76.1449","5238.4990","4531.5740","706.9250"
"2025- 10- 14","91,600","95,300","96,000","90,200","35.47M","-1.82%","72.2352","5027.3886","4354.8427","672.5459"
"2025- 10- 13","93,300","91,300","93,400","90,700","23.79M","-1.17%","78.1845","5030.9912","4186.7062","844.2850"
"2025- 10- 10","94,400","94,000","94,500","92,700","34.63M","6.07%","82.2549","4789.3205","3975.6350","813.6855"
"2025- 10- 06","89,000","89,300","89,000","89,000","49.75M","0.00%","76.7333","4299.1979","3772.2136","526.9843"
"2025- 10- 02","89,000","89,300","90,300","88,700","49.75M","3.49%","76.7333","4160.9077","3640.4675","520.4401"
"2025- 10- 01","86,000","84,900","86,200","84,700","21.72M","2.50%","72.6578","3923.8767","3510.3575","413.5192"
"2025- 09- 30","83,900","84,600","84,900","83,400","15.09M","-0.36%","69.1447","3869.7190","3406.9777","462.7413"
"2025- 09- 29","84,200","83,300","85,000","83,200","12.98M","1.08%","70.3436","3958.1254","3291.2924","666.8331"
"2025- 09- 26","83,300","85,000","85,300","82,400","23.04M","-3.25%","68.8384","3982.8460","3124.5841","858.2619"
"2025- 09- 25","86,100","84,400","86,200","84,100","19.44M","0.82%","80.6661","4048.1025","2910.0186","1138.0839"
"2025- 09- 24","85,400","84,200","85,500","83,700","17.24M","0.83%","79.8629","3787.4211","2625.4977","1161.9234"
"2025- 09- 23","84,700","85,800","85,900","83,600","22.66M","1.44%","79.0550","3470.8798","2335.0168","1135.8630"
"2025- 09- 22","83,500","81,500","84,000","81,100","27.46M","4.77%","77.6259","3087.6453","2051.0511","1036.5942"
"2025- 09- 19","79,700","81,100","81,200","79,600","19.71M","-0.99%","72.0105","2675.7692","1791.9025","883.8667"
"2025- 09- 18","80,500","79,100","80,500","78,600","24.97M","2.94%","75.7259","2498.0544","1570.9358","927.1186"
"2025- 09- 17","78,200","79,100","79,100","77,100","20.31M","-1.51%","71.8483","2153.4358","1339.1562","814.2796"
"2025- 09- 16","79,400","76,900","79,500","76,700","27.77M","3.79%","77.8751","1916.4363","1135.5863","780.8500"
"2025- 09- 15","76,500","77,200","77,600","75,900","19.91M","1.46%","72.7447","1463.8814","940.3738","523.5076"
"2025- 09- 12","75,400","74,600","75,600","74,200","28.10M","2.72%","70.3206","1160.2368","809.4969","350.7399"
"2025- 09- 11","73,400","73,200","73,600","72,100","20.77M","1.10%","65.0768","867.7997","721.8119","145.9877"
"2025- 09- 10","72,600","71,800","72,800","71,600","21.57M","1.54%","62.6240","685.5574","685.3150","0.2424"
"2025- 09- 09","71,500","70,100","71,500","70,000","14.04M","2.00%","58.9422","524.4327","685.2544","-160.8217"
"2025- 09- 08","70,100","69,800","70,500","69,600","9.20M","0.86%","53.5325","423.1509","725.4598","-302.3089"
"2025- 09- 05","69,500","70,300","70,400","69,500","11.50M","-0.86%","50.9612","430.2691","801.0371","-370.7679"
"2025- 09- 04","70,100","69,500","70,100","69,300","11.76M","0.43%","53.7215","494.1869","893.7290","-399.5421"
"2025- 09- 03","69,800","69,200","69,800","68,800","10.28M","1.01%","52.5277","507.4902","993.6146","-486.1243"
"2025- 09- 02","69,100","67,800","69,500","67,800","10.48M","2.22%","49.7172","547.6339","1115.1457","-567.5118"
"2025- 09- 01","67,600","68,400","68,600","67,500","12.00M","-3.01%","43.0027","662.1789","1257.0236","-594.8447"
"2025- 08- 29","69,700","70,100","70,500","69,700","11.28M","0.14%","52.0358","951.4755","1405.7348","-454.2592"
"2025- 08- 28","69,600","70,100","70,400","69,600","11.57M","-1.42%","51.5861","1093.0655","1519.2996","-426.2341"
"2025- 08- 27","70,600","70,100","70,900","69,800","10.43M","0.43%","56.5053","1268.0684","1625.8581","-357.7898"
"2025- 08- 26","70,300","70,800","71,100","70,300","14.46M","-1.68%","55.3184","1371.1729","1715.3056","-344.1327"
"2025- 08- 25","71,500","71,700","71,800","71,000","10.35M","0.14%","61.5578","1513.3729","1801.3387","-287.9658"
"2025- 08- 22","71,400","71,700","71,800","70,800","9.15M","1.13%","61.2193","1550.6773","1873.3302","-322.6529"
"2025- 08- 21","70,600","71,500","71,900","70,600","18.35M","0.14%","58.5053","1585.9178","1953.9934","-368.0756"
"2025- 08- 20","70,500","70,100","70,700","69,400","17.38M","0.71%","58.1655","1689.2842","2046.0123","-356.7281"
"2025- 08- 19","70,000","70,400","70,700","69,700","10.51M","0.00%","56.5119","1806.8276","2135.1943","-328.3667"
"2025- 08- 18","70,000","71,100","71,200","70,000","13.55M","-2.23%","56.5119","1981.4838","2217.2860","-235.8023"
"2025- 08- 14","71,600","71,900","71,900","71,200","11.80M","-0.42%","63.4296","2175.5869","2276.2366","-100.6497"
"2025- 08- 13","71,900","71,900","72,100","71,400","12.31M","1.13%","64.8109","2228.7792","2301.3990","-72.6198"
"2025- 08- 12","71,100","71,100","72,400","71,100","15.31M","0.14%","62.8052","2233.7077","2319.5540","-85.8462"
"2025- 08- 11","71,000","72,000","72,100","70,800","11.35M","-1.11%","62.5575","2288.9626","2341.0155","-52.0529"
"2025- 08- 08","71,800","71,000","72,400","70,700","21.72M","1.84%","65.8135","2336.3758","2354.0287","-17.6529"
"2025- 08- 07","70,500","70,800","71,000","69,700","15.01M","2.47%","62.8998","2281.4541","2358.4419","-76.9879"
"2025- 08- 06","68,800","69,200","69,400","68,300","12.54M","-1.57%","58.6169","2310.5328","2377.6889","-67.1561"
"2025- 08- 05","69,900","71,000","71,500","69,700","14.39M","0.29%","62.9857","2487.1310","2394.4779","92.6530"
"2025- 08- 04","69,700","69,500","70,200","68,700","14.76M","1.16%","62.5140","2564.3580","2371.3147","193.0433"
"2025- 08- 01","68,900","70,200","72,000","68,800","23.91M","-3.50%","60.6515","2645.9917","2323.0539","322.9379"
"2025- 07- 31","71,400","73,000","74,000","71,000","26.54M","-1.65%","70.8691","2793.1534","2242.3194","550.8340"
"2025- 07- 30","72,600","71,000","73,700","70,600","34.57M","2.83%","76.6224","2685.8120","2104.6109","581.2011"
"2025- 07- 29","70,600","70,800","70,800","68,800","27.78M","0.28%","73.2632","2387.5573","1959.3106","428.2467"
"2025- 07- 28","70,400","68,200","70,400","67,200","35.29M","6.83%","72.9016","2175.7840","1852.2489","323.5351"
"2025- 07- 25","65,900","65,700","66,300","65,500","8.05M","-0.15%","62.2300","1894.2002","1771.3652","122.8350"
"2025- 07- 24","66,000","66,500","66,800","65,900","12.65M","-0.60%","62.7399","1965.4266","1740.6564","224.7702"
"2025- 07- 23","66,400","66,200","66,500","64,900","15.69M","0.61%","64.7090","2017.5676","1684.4639","333.1037"
"2025- 07- 22","66,000","68,100","68,500","65,600","20.68M","-2.65%","63.6496","2014.0448","1601.1879","412.8569"
"2025- 07- 21","67,800","67,400","68,800","67,200","17.70M","1.04%","72.7786","2020.9805","1497.9737","523.0067"
"2025- 07- 18","67,100","67,000","67,800","66,300","23.85M","0.60%","71.2917","1817.1641","1367.2220","449.9420"
"2025- 07- 17","66,700","65,900","66,800","64,400","38.92M","3.09%","70.4348","1601.8615","1254.7365","347.1250"
"2025- 07- 16","64,700","63,700","64,700","63,100","22.72M","1.57%","65.6786","1344.4846","1167.9553","176.5293"
"2025- 07- 15","63,700","62,300","63,800","62,000","17.92M","1.92%","62.9082","1200.0583","1123.8229","76.2354"
"2025- 07- 14","62,500","62,300","62,600","61,800","13.52M","-0.16%","59.2422","1100.0807","1104.7641","-4.6834"
"2025- 07- 11","62,600","61,300","62,800","61,200","19.03M","2.62%","59.6988","1078.6534","1105.9350","-27.2815"
"2025- 07- 10","61,000","60,600","61,200","60,400","14.70M","0.99%","54.4875","1025.4332","1112.7553","-87.3221"
"2025- 07- 09","60,400","61,400","61,400","60,200","17.52M","-1.63%","52.3416","1105.4985","1134.5859","-29.0874"
"2025- 07- 08","61,400","61,600","62,400","61,000","20.21M","-0.49%","56.4616","1252.7019","1141.8577","110.8442"
"2025- 07- 07","61,700","62,900","63,300","61,700","17.16M","-2.53%","57.7274","1320.5476","1114.1467","206.4010"
"2025- 07- 04","63,300","64,700","64,700","63,000","23.69M","-0.78%","64.9372","1357.3901","1062.5464","294.8436"
"2025- 07- 03","63,800","61,300","63,800","61,100","31.79M","4.93%","67.3792","1221.7615","988.8355","232.9259"
"2025- 07- 02","60,800","60,200","60,900","59,800","14.76M","1.00%","58.7333","979.9699","930.6040","49.3658"
"2025- 07- 01","60,200","60,400","61,100","60,200","13.51M","0.67%","56.5970","962.5563","918.2626","44.2937"
"2025- 06- 30","59,800","61,200","61,200","59,800","16.87M","-1.64%","55.1600","987.4203","907.1891","80.2312"
"2025- 06- 27","60,800","60,100","61,600","60,000","17.24M","1.00%","59.7525","1045.5207","887.1313","158.3894"
"2025- 06- 26","60,200","61,300","61,300","59,900","19.22M","-1.79%","57.7948","1002.6521","847.5340","155.1182"
"2025- 06- 25","61,300","61,500","61,600","60,300","22.70M","1.32%","63.0129","994.4431","808.7545","185.6887"
"2025- 06- 24","60,500","59,400","60,600","59,300","23.30M","4.31%","60.6112","857.5009","762.3323","95.1686"
"2025- 06- 23","58,000","58,400","58,500","57,600","16.42M","-2.52%","51.4666","751.6945","738.5401","13.1544"
"2025- 06- 20","59,500","59,400","59,800","59,100","17.18M","0.51%","59.1127","860.2588","735.2515","125.0073"
"2025- 06- 19","59,200","60,500","60,600","59,000","16.63M","-1.00%","57.9526","833.5863","703.9997","129.5865"
"2025- 06- 18","59,800","58,000","59,800","57,900","17.59M","2.93%","61.1762","817.9629","671.6031","146.3598"
"2025- 06- 17","58,100","57,800","59,800","57,400","28.62M","1.57%","54.5204","725.0333","635.0131","90.0202"
"2025- 06- 16","57,200","58,000","58,100","56,900","21.90M","-1.89%","50.3348","768.9663","612.5081","156.4582"
"2025- 06- 13","58,300","60,200","60,200","57,700","20.61M","-2.02%","56.2055","905.4922","573.3935","332.0987"
"2025- 06- 12","59,500","59,700","60,000","59,300","17.76M","-0.67%","63.7357","954.5781","490.3689","464.2092"
"2025- 06- 11","59,900","59,500","60,100","59,400","13.54M","1.18%","66.4931","881.1629","374.3166","506.8464"
"2025- 06- 10","59,200","60,000","60,100","58,800","15.25M","-1.00%","63.9593","733.9143","247.6050","486.3093"
"2025- 06- 09","59,800","60,400","60,400","59,500","19.36M","1.18%","68.0553","606.5691","126.0276","480.5415"
"2025- 06- 05","59,100","58,100","59,900","57,900","23.26M","2.25%","65.6739","374.1166","5.8923","368.2243"
"2025- 06- 04","57,800","57,200","57,900","56,800","19.39M","1.76%","60.6099","143.2537","-86.1638","229.4175"
"2025- 06- 02","56,800","56,300","57,300","56,200","12.61M","1.07%","55.9703","-21.1313","-143.5182","122.3869"
"2025- 05- 30","56,200","56,200","57,200","55,800","25.00M","0.18%","52.8780","-128.8209","-174.1149","45.2940"
"2025- 05- 29","56,100","56,200","56,400","55,600","12.87M","0.36%","52.3601","-203.3072","-185.4384","-17.8688"
"2025- 05- 28","55,900","54,300","56,100","54,200","17.51M","3.71%","51.3677","-285.2399","-180.9712","-104.2687"
"2025- 05- 27","53,900","54,200","54,500","53,800","13.35M","-1.46%","39.7033","-365.3031","-154.9040","-210.3991"
"2025- 05- 26","54,700","53,900","55,000","53,700","10.90M","0.92%","43.5863","-258.5431","-102.3043","-156.2389"
"2025- 05- 23","54,200","55,000","55,200","54,100","11.24M","-0.91%","40.1916","-199.9725","-63.2446","-136.7279"
"2025- 05- 22","54,700","55,300","55,500","54,500","15.25M","-1.80%","42.5703","-71.3972","-29.0626","-42.3346"
"2025- 05- 21","55,700","56,200","56,600","55,700","7.79M","-0.36%","47.8269","42.8410","-18.4789","61.3199"
"2025- 05- 20","55,900","56,200","56,700","55,700","9.04M","0.18%","48.9494","86.2091","-33.8089","120.0180"
"2025- 05- 19","55,800","56,400","56,400","55,500","9.80M","-1.76%","48.3870","119.9451","-63.8134","183.7585"
"2025- 05- 16","56,800","57,400","57,500","56,700","10.36M","-0.87%","53.9012","171.4416","-109.7530","281.1946"
"2025- 05- 15","57,300","57,400","58,600","57,100","12.48M","-0.17%","56.9124","132.8579","-180.0516","312.9096"
"2025- 05- 14","57,400","57,500","57,900","57,000","12.42M","0.88%","57.5091","30.7696","-258.2790","289.0487"
"2025- 05- 13","56,900","57,700","58,200","56,800","15.24M","-1.22%","55.3350","-110.1616","-330.5412","220.3796"
"2025- 05- 12","57,600","55,200","57,600","55,000","15.34M","5.11%","59.2779","-237.5296","-385.6361","148.1065"
"2025- 05- 09","54,800","54,700","55,000","54,400","7.44M","0.37%","44.6214","-467.9152","-422.6627","-45.2524"
"2025- 05- 08","54,600","55,100","55,500","54,500","16.24M","0.00%","43.2671","-470.0741","-411.3496","-58.7245"
