"날짜","종가","시가","고가","저가","거래량","변동 %","RSI(14)","MACD(12,26)","MACD_SIGNAL(9)","MACD_HIST"
"2024- 02- 26","72,800","72,300","73,200","72,200","14.52M","-0.14%","43.7017","-350.6293","-250.4690","-100.1603"
"2024- 02- 25","72,900","72,900","72,900","72,900","","0.00%","44.3316","-332.0021","-225.4289","-106.5732"
"2024- 02- 23","72,900","73,600","74,200","72,900","16.00M","-0.27%","44.3316","-313.5796","-198.7856","-114.7940"
"2024- 02- 22","73,100","73,800","73,900","72,700","15.05M","0.14%","45.4615","-285.5047","-170.0871","-115.4176"
"2024- 02- 21","73,000","73,400","73,700","72,900","11.31M","-0.41%","44.8084","-265.8818","-141.2327","-124.6490"
"2024- 02- 20","73,300","73,700","73,700","72,800","13.59M","-0.68%","46.3548","-226.7865","-110.0705","-116.7161"
"2024- 02- 19","73,800","72,800","73,900","72,800","12.16M","1.37%","48.9704","-204.1336","-80.8914","-123.2421"
"2024- 02- 18","72,800","72,800","72,800","72,800","","0.00%","42.9971","-223.1600","-50.0809","-173.0791"
"2024- 02- 16","72,800","73,300","73,400","72,500","13.23M","-0.27%","42.9971","-142.3805","-6.8111","-135.5694"
"2024- 02- 15","73,000","74,200","74,400","73,000","14.07M","-1.35%","43.8829","-37.2056","27.0812","-64.2868"
"2024- 02- 14","74,000","73,700","74,300","73,700","12.20M","-1.60%","48.5244","77.2135","43.1529","34.0606"
"2024- 02- 13","75,200","74,800","75,200","74,400","20.51M","1.48%","55.0074","120.3125","34.6378","85.6748"
"2024- 02- 12","74,100","74,100","74,100","74,100","","0.00%","49.2342","51.3907","13.2191","38.1717"
"2024- 02- 08","74,100","75,000","75,200","73,600","20.25M","-1.20%","49.2342","74.6740","3.6761","70.9978"
"2024- 02- 07","75,000","74,600","75,500","74,300","16.52M","0.81%","54.1346","103.3057","-14.0733","117.3790"
"2024- 02- 06","74,400","74,300","74,700","73,300","13.94M","0.13%","51.1230","46.7112","-43.4181","90.1293"
"2024- 02- 05","74,300","74,200","74,800","73,500","18.89M","-1.20%","50.6213","34.8875","-65.9504","100.8379"
"2024- 02- 04","75,200","75,200","75,200","75,200","","0.00%","55.3719","29.4705","-91.1599","120.6304"
"2024- 02- 02","75,200","74,000","75,200","73,700","14.85M","2.17%","55.3719","-69.5085","-121.3174","51.8089"
"2024- 02- 01","73,600","73,000","74,200","72,900","19.76M","1.24%","47.8732","-194.8308","-134.2697","-60.5611"
"2024- 01- 31","72,700","73,400","74,000","72,500","14.89M","-2.15%","42.8581","-189.0445","-119.1294","-69.9151"
"2024- 01- 30","74,300","75,000","75,300","73,700","12.04M","-0.13%","50.9500","-87.2731","-101.6506","14.3775"
"2024- 01- 29","74,400","73,800","75,200","73,500","13.86M","1.36%","51.5145","-119.0153","-105.2450","-13.7703"
"2024- 01- 28","73,400","73,400","73,400","73,400","","0.00%","45.9545","-167.9807","-101.8024","-66.1783"
"2024- 01- 26","73,400","73,700","74,500","73,300","10.98M","-0.94%","45.9545","-126.2168","-85.2578","-40.9590"
"2024- 01- 25","74,100","74,200","74,800","73,700","10.66M","0.14%","49.3717","-71.0750","-75.0181","3.9431"
"2024- 01- 24","74,000","75,200","75,200","73,500","12.69M","-1.60%","48.8673","-70.9329","-76.0039","5.0710"
"2024- 01- 23","75,200","75,700","75,800","74,300","14.72M","0.13%","54.9694","-59.5379","-77.2716","17.7337"
"2024- 01- 22","75,100","75,900","76,000","75,000","19.62M","0.54%","54.5300","-166.3096","-81.7051","-84.6045"
"2024- 01- 21","74,700","74,700","74,700","74,700","","0.00%","52.8202","-289.9883","-60.5539","-229.4343"
"2024- 01- 19","74,700","73,500","74,700","73,000","23.20M","4.18%","52.8202","-402.9019","-3.1954","-399.7066"
"2024- 01- 18","71,700","71,600","72,000","70,700","17.64M","0.99%","37.6615","-541.1604","96.7313","-637.8917"
"2024- 01- 17","71,000","73,100","73,300","71,000","22.05M","-2.20%","32.9971","-404.3026","256.2042","-660.5068"
"2024- 01- 16","72,600","73,500","73,700","72,500","14.39M","-1.76%","39.2266","-152.4687","421.3309","-573.7996"
"2024- 01- 15","73,900","73,200","74,000","73,200","12.97M","1.09%","45.7419","8.2716","564.7808","-556.5092"
"2024- 01- 14","73,100","73,100","73,100","73,100","","0.00%","40.0523","80.9506","703.9081","-622.9575"
"2024- 01- 12","73,100","73,000","74,100","72,800","12.97M","-0.14%","40.0523","253.9926","859.6475","-605.6548"
"2024- 01- 11","73,200","72,900","73,600","72,700","27.73M","-0.54%","40.5101","471.1627","1011.0612","-539.8985"
"2024- 01- 10","73,600","75,000","75,200","73,200","19.95M","-1.47%","42.3064","731.3156","1146.0358","-414.7202"
"2024- 01- 09","74,700","77,400","77,700","74,300","25.83M","-2.35%","47.7085","1012.0006","1249.7158","-237.7152"
"2024- 01- 08","76,500","77,000","77,500","76,400","11.02M","-0.13%","59.1933","1243.5369","1309.1446","-65.6078"
"2024- 01- 07","76,600","76,600","76,600","76,600","","0.00%","59.9376","1337.7007","1325.5466","12.1541"
"2024- 01- 05","76,600","76,700","77,100","76,400","11.20M","0.00%","59.9376","1428.2488","1322.5081","105.7408"
"2024- 01- 04","76,600","76,100","77,300","76,100","15.05M","-0.52%","59.9376","1523.0465","1296.0729","226.9737"
"2024- 01- 03","77,000","78,500","78,800","77,000","21.55M","-3.27%","62.4527","1621.8895","1239.3294","382.5601"
"2024- 01- 02","79,600","78,200","79,800","78,200","16.91M","1.40%","83.6348","1683.7307","1143.6894","540.0413"
"2023- 12- 28","78,500","77,700","78,500","77,500","17.73M","0.64%","81.1190","1473.4446","1008.6791","464.7655"
"2023- 12- 27","78,000","76,700","78,000","76,500","20.58M","1.83%","79.8089","1295.6112","892.4877","403.1235"
"2023- 12- 26","76,600","76,100","76,700","75,700","13.10M","0.92%","75.3644","1100.6950","791.7069","308.9881"
"2023- 12- 25","75,900","75,900","75,900","75,900","","0.00%","72.5601","978.4463","714.4598","263.9865"
"2023- 12- 22","75,900","75,800","76,300","75,400","14.48M","1.20%","72.5601","879.4533","648.4632","230.9901"
"2023- 12- 21","75,000","74,600","75,000","74,300","13.36M","0.27%","68.5972","740.3102","590.7157","149.5946"
"2023- 12- 20","74,800","74,200","74,900","73,800","16.83M","1.91%","67.6326","643.5813","553.3170","90.2642"
"2023- 12- 19","73,400","73,000","73,400","72,800","8.88M","0.69%","59.5582","531.1224","530.7510","0.3714"
"2023- 12- 18","72,900","73,300","73,400","72,800","9.50M","-0.55%","55.9106","522.4040","530.6581","-8.2541"
"2023- 12- 17","73,300","73,300","73,300","73,300","","0.00%","59.9256","554.5867","532.7217","21.8650"
"2023- 12- 15","73,300","73,800","74,000","73,200","14.89M","0.27%","59.9256","546.8694","527.2554","19.6140"
"2023- 12- 14","73,100","74,100","74,300","72,500","27.48M","0.41%","58.6453","529.0650","522.3519","6.7131"
"2023- 12- 13","72,800","73,300","73,500","72,800","12.32M","-0.95%","56.7194","519.0082","520.6736","-1.6654"
"2023- 12- 12","73,500","73,300","73,500","73,100","13.54M","0.68%","63.0850","529.1683","521.0900","8.0784"
"2023- 12- 11","73,000","72,800","73,000","72,200","9.41M","0.55%","60.1161","463.1666","519.0704","-55.9037"
"2023- 12- 10","72,600","72,600","72,600","72,600","","0.00%","57.5818","423.0966","533.0463","-109.9497"
"2023- 12- 08","72,600","72,100","72,800","71,900","10.12M","1.54%","57.5818","406.5258","560.5337","-154.0080"
"2023- 12- 07","71,500","71,800","71,900","71,100","8.85M","-0.28%","50.0572","379.4623","599.0357","-219.5735"
"2023- 12- 06","71,700","71,800","72,100","71,600","8.11M","0.70%","51.6026","451.3999","653.9291","-202.5292"
"2023- 12- 05","71,200","72,300","72,400","71,200","12.01M","-1.93%","47.8661","516.2891","704.5614","-188.2723"
"2023- 12- 04","72,600","72,800","72,900","72,400","9.89M","0.83%","59.8876","642.5107","751.6295","-109.1187"
"2023- 12- 03","72,000","72,000","72,000","72,000","","0.00%","55.4333","651.7244","778.9092","-127.1848"
"2023- 12- 01","72,000","72,400","72,500","71,700","9.78M","-1.10%","55.4333","715.0956","810.7054","-95.6098"
"2023- 11- 30","72,800","72,700","72,800","72,200","15.23M","0.14%","63.5458","785.5789","834.6078","-49.0289"
"2023- 11- 29","72,700","72,400","72,800","72,200","8.91M","0.00%","62.9159","782.6602","846.8650","-64.2049"
"2023- 11- 28","72,700","71,400","72,700","71,300","13.27M","1.96%","62.9159","777.7324","862.9163","-85.1839"
"2023- 11- 27","71,300","71,500","72,100","71,100","8.67M","-0.56%","53.1412","760.1303","884.2122","-124.0819"
"2023- 11- 26","71,700","71,700","71,700","71,700","","0.00%","57.1368","869.1527","915.2327","-46.0800"
"2023- 11- 24","71,700","72,400","72,600","71,700","6.39M","-0.97%","57.1368","954.9353","926.7527","28.1826"
"2023- 11- 23","72,400","73,000","73,200","72,200","6.70M","-0.55%","64.4486","1050.5353","919.7071","130.8282"
"2023- 11- 22","72,800","72,200","73,000","71,900","11.09M","0.00%","69.1437","1086.0023","887.0000","199.0023"
"2023- 11- 21","72,800","73,100","73,400","72,700","9.64M","0.14%","69.1437","1074.7474","837.2495","237.4980"
"2023- 11- 20","72,700","72,100","73,000","72,100","10.58M","0.28%","68.6514","1044.7495","777.8750","266.8745"
"2023- 11- 19","72,500","72,500","72,500","72,500","","0.00%","67.6942","1001.4466","711.1563","290.2903"
"2023- 11- 17","72,500","72,300","73,000","72,300","10.85M","-0.41%","67.6942","951.9736","638.5838","313.3898"
"2023- 11- 16","72,800","72,500","73,000","72,300","14.55M","0.83%","70.4775","874.9811","560.2363","314.7448"
"2023- 11- 15","72,200","71,600","72,200","71,500","20.06M","1.98%","68.0369","733.4382","481.5501","251.8881"
"2023- 11- 14","70,800","71,000","71,100","70,600","9.54M","0.57%","61.0626","603.2008","418.5781","184.6227"
"2023- 11- 13","70,400","71,300","71,300","70,300","9.21M","-0.14%","58.6700","570.7421","372.4224","198.3196"
"2023- 11- 12","70,500","70,500","70,500","70,500","","0.00%","59.5190","561.7385","322.8425","238.8960"
"2023- 11- 10","70,500","70,000","70,500","69,500","9.09M","0.28%","59.5190","531.8941","263.1185","268.7756"
"2023- 11- 09","70,300","69,900","70,800","69,600","12.27M","0.57%","58.4829","486.0652","195.9246","290.1406"
"2023- 11- 08","69,900","71,300","71,400","69,700","12.73M","-1.41%","56.4111","440.8644","123.3895","317.4750"
"2023- 11- 07","70,900","70,600","70,900","70,000","16.80M","0.00%","63.8023","417.4865","44.0207","373.4658"
"2023- 11- 06","70,900","69,800","70,900","69,300","22.05M","1.87%","63.8023","279.7571","-49.3457","329.1028"
"2023- 11- 05","69,600","69,600","69,600","69,600","","0.00%","57.5709","99.8950","-131.6214","231.5165"
"2023- 11- 03","69,600","69,700","70,200","69,500","10.28M","-0.14%","57.5709","1.2363","-189.5006","190.7369"
"2023- 11- 02","69,700","70,000","70,000","69,400","16.24M","1.60%","58.2359","-124.7061","-237.1848","112.4787"
"2023- 11- 01","68,600","67,500","68,900","67,300","13.67M","2.54%","52.6497","-293.8224","-265.3045","-28.5179"
"2023- 10- 31","66,900","67,600","68,300","66,900","13.75M","-0.59%","41.4021","-393.4024","-258.1750","-135.2274"
"2023- 10- 30","67,300","66,800","67,800","66,700","10.12M","0.00%","43.6685","-341.6896","-224.3681","-117.3215"
"2023- 10- 29","67,300","67,300","67,300","67,300","","0.00%","43.6685","-311.4425","-195.0378","-116.4047"
"2023- 10- 27","67,300","67,100","67,300","66,700","11.25M","0.90%","43.6685","-268.3061","-165.9366","-102.3696"
"2023- 10- 26","66,700","67,000","67,900","66,700","14.59M","-1.91%","39.7045","-209.3458","-140.3442","-69.0016"
"2023- 10- 25","68,000","68,800","68,800","67,900","10.54M","-0.73%","46.2528","-69.9551","-123.0938","53.1387"
"2023- 10- 24","68,500","68,700","68,800","67,700","12.75M","0.15%","49.1476","-23.3879","-136.3785","112.9905"
"2023- 10- 23","68,400","68,700","69,100","68,200","10.61M","-0.58%","48.5496","-14.5202","-164.6261","150.1059"
"2023- 10- 22","68,800","68,800","68,800","68,800","","0.00%","50.7672","7.1913","-202.1526","209.3438"
"2023- 10- 20","68,800","68,900","69,200","68,100","15.11M","-1.01%","50.7672","-5.9289","-254.4885","248.5596"
"2023- 10- 19","69,500","69,700","70,000","69,400","13.06M","-1.42%","54.5251","-22.5887","-316.6284","294.0397"
"2023- 10- 18","70,500","68,900","70,500","68,800","16.41M","1.59%","60.4622","-114.7969","-390.1383","275.3415"
"2023- 10- 17","69,400","67,700","69,900","67,400","17.21M","3.12%","55.5145","-332.6365","-458.9737","126.3372"
"2023- 10- 16","67,300","67,900","68,500","66,800","12.54M","-1.03%","42.8328","-493.8406","-490.5580","-3.2826"
"2023- 10- 15","68,000","68,000","68,000","68,000","","0.00%","46.9780","-478.5944","-489.7374","11.1429"
"2023- 10- 13","68,000","68,000","68,500","67,700","9.56M","-1.31%","46.9780","-523.4461","-492.5231","-30.9230"
"2023- 10- 12","68,900","68,600","69,700","68,200","19.08M","1.03%","52.6239","-573.0794","-484.7924","-88.2870"
"2023- 10- 11","68,200","68,600","69,400","67,900","21.82M","2.71%","48.1209","-719.7302","-462.7206","-257.0096"
"2023- 10- 10","66,400","66,200","67,600","66,200","19.11M","0.61%","32.8904","-825.1683","-398.4682","-426.7001"
"2023- 10- 09","66,000","66,000","66,000","66,000","","0.00%","28.5628","-764.4706","-291.7932","-472.6774"
"2023- 10- 06","66,000","67,100","67,300","66,000","14.19M","-1.05%","28.5628","-635.1514","-173.6238","-461.5276"
"2023- 10- 05","66,700","67,300","67,400","66,700","15.85M","-1.19%","31.6417","-460.8546","-58.2419","-402.6126"
"2023- 10- 04","67,500","67,400","67,700","66,700","22.46M","-1.32%","35.7288","-302.9577","42.4112","-345.3690"
"2023- 10- 03","68,400","68,400","68,400","68,400","","0.00%","41.3019","-178.4719","128.7535","-307.2254"
"2023- 09- 27","68,400","68,600","69,100","68,200","13.08M","-0.29%","41.3019","-108.6231","205.5598","-314.1829"
"2023- 09- 26","68,600","70,000","70,000","68,400","12.63M","-1.15%","42.5744","-17.8906","284.1055","-301.9961"
"2023- 09- 25","69,400","68,500","69,700","68,500","13.34M","0.87%","48.0758","77.8136","359.6046","-281.7910"
"2023- 09- 24","68,800","68,800","68,800","68,800","","0.00%","42.9409","117.3806","430.0523","-312.6717"
"2023- 09- 22","68,800","68,300","68,900","68,300","9.42M","-0.15%","42.9409","227.2661","508.2202","-280.9542"
"2023- 09- 21","68,900","69,200","69,800","68,800","10.73M","-1.01%","43.5600","364.2141","578.4588","-214.2447"
"2023- 09- 20","69,600","70,000","70,300","69,500","10.54M","-0.29%","48.0639","523.5302","632.0200","-108.4897"
"2023- 09- 19","69,800","70,400","70,800","69,600","11.68M","-0.57%","49.4195","647.9877","659.1424","-11.1547"
"2023- 09- 18","70,200","71,300","71,700","70,200","15.93M","-2.50%","52.1512","777.0519","661.9311","115.1208"
"2023- 09- 17","72,000","72,000","72,000","72,000","","0.00%","67.8148","889.7548","633.1508","256.6040"
"2023- 09- 15","72,000","71,700","72,300","71,400","17.51M","0.42%","67.8148","837.3902","568.9998","268.3903"
"2023- 09- 14","71,700","71,200","71,800","70,800","20.90M","1.13%","66.3629","758.3736","501.9023","256.4713"
"2023- 09- 13","70,900","71,100","71,600","70,300","15.85M","0.57%","62.1332","677.0342","437.7844","239.2498"
"2023- 09- 12","70,500","70,800","71,000","70,400","11.65M","-0.42%","59.7855","644.8225","377.9720","266.8505"
"2023- 09- 11","70,800","70,400","70,800","70,000","11.69M","0.71%","62.4835","635.0565","311.2594","323.7971"
"2023- 09- 10","70,300","70,300","70,300","70,300","","0.00%","59.6665","582.8090","230.3101","352.4989"
"2023- 09- 08","70,300","70,200","70,300","69,600","10.58M","-0.14%","59.6665","558.5541","142.1854","416.3687"
"2023- 09- 07","70,400","70,000","70,600","69,600","13.30M","0.57%","60.4492","519.4715","38.0932","481.3783"
"2023- 09- 06","70,000","70,700","70,800","69,700","11.39M","-0.99%","58.4234","451.8502","-82.2514","534.1016"
"2023- 09- 05","70,700","70,900","71,500","70,200","12.28M","-0.70%","63.7277","399.6957","-215.7768","615.4725"
"2023- 09- 04","71,200","72,900","72,900","70,700","26.20M","0.28%","67.8112","256.0411","-369.6449","625.6860"
"2023- 09- 03","71,000","71,000","71,000","71,000","","0.00%","67.0264","18.0523","-526.0664","544.1187"
"2023- 09- 01","71,000","66,800","71,000","66,700","29.42M","6.13%","67.0264","-265.6069","-662.0961","396.4892"
"2023- 08- 31","66,900","67,100","67,200","66,400","15.42M","-0.30%","42.0556","-623.7959","-761.2184","137.4225"
"2023- 08- 30","67,100","67,300","67,700","67,100","9.11M","0.45%","43.5495","-654.4472","-795.5740","141.1268"
"2023- 08- 29","66,800","66,900","67,200","66,600","8.97M","0.00%","40.6112","-704.4140","-830.8557","126.4417"
"2023- 08- 28","66,800","66,800","67,000","66,500","5.78M","-0.45%","40.6112","-727.3982","-862.4661","135.0680"
"2023- 08- 27","67,100","67,100","67,100","67,100","","0.00%","42.5195","-746.1541","-896.2331","150.0791"
"2023- 08- 25","67,100","67,100","67,400","66,900","7.00M","-1.61%","42.5195","-789.7857","-933.7529","143.9672"
"2023- 08- 24","68,200","68,300","68,700","67,900","14.93M","1.64%","49.9384","-833.9878","-969.7447","135.7569"
"2023- 08- 23","67,100","66,700","67,100","66,400","9.50M","0.75%","40.2593","-990.2749","-1003.6839","13.4090"
"2023- 08- 22","66,600","67,200","67,700","66,300","10.46M","0.00%","34.9508","-1063.3501","-1007.0362","-56.3140"
"2023- 08- 21","66,600","66,600","67,100","66,300","9.56M","0.45%","34.9508","-1090.2447","-992.9577","-97.2871"
"2023- 08- 20","66,300","66,300","66,300","66,300","","0.00%","31.8164","-1108.7139","-968.6359","-140.0780"
"2023- 08- 18","66,300","66,000","66,700","65,800","11.63M","-0.60%","31.8164","-1085.6150","-933.6164","-151.9986"
"2023- 08- 17","66,700","66,300","66,800","66,000","10.54M","-0.45%","33.6823","-1040.3418","-895.6167","-144.7250"
"2023- 08- 16","67,000","66,700","67,100","66,300","13.09M","-0.45%","35.1165","-1008.1516","-859.4355","-148.7161"
"2023- 08- 15","67,300","67,300","67,300","67,300","","0.00%","36.5622","-982.9467","-822.2565","-160.6902"
"2023- 08- 14","67,300","67,500","67,900","66,900","9.33M","-0.30%","36.5622","-967.0241","-782.0839","-184.9402"
"2023- 08- 13","67,500","67,500","67,500","67,500","","0.00%","37.4484","-932.6353","-735.8488","-196.7865"
"2023- 08- 11","67,500","68,400","68,800","67,500","9.63M","-0.74%","37.4484","-895.5407","-686.6522","-208.8885"
"2023- 08- 10","68,000","68,300","68,500","67,800","10.17M","-1.31%","39.5129","-835.1685","-634.4301","-200.7384"
"2023- 08- 09","68,900","68,000","69,600","67,900","17.16M","1.92%","43.5232","-796.8728","-584.2455","-212.6273"
"2023- 08- 08","67,600","69,000","69,100","67,400","14.63M","-1.31%","34.6234","-828.0390","-531.0886","-296.9504"
"2023- 08- 07","68,500","67,700","69,200","67,600","10.89M","0.29%","38.5263","-723.4106","-456.8510","-266.5595"
"2023- 08- 06","68,300","68,300","68,300","68,300","","0.00%","37.0623","-670.9807","-390.2112","-280.7695"
"2023- 08- 04","68,300","68,800","69,100","68,200","12.26M","-0.73%","37.0623","-573.9378","-320.0188","-253.9190"
"2023- 08- 03","68,800","69,900","70,200","68,500","19.35M","-1.57%","39.0678","-441.7275","-256.5390","-185.1884"
"2023- 08- 02","69,900","70,700","71,000","69,800","13.29M","-1.69%","43.9233","-317.4631","-210.2419","-107.2211"
"2023- 08- 01","71,100","70,100","71,200","70,000","12.16M","1.86%","50.2495","-266.2388","-183.4366","-82.8022"
"2023- 07- 31","69,800","70,900","71,000","69,800","12.88M","-1.13%","41.8200","-319.1673","-162.7361","-156.4312"
"2023- 07- 30","70,600","70,600","70,600","70,600","","0.00%","46.3031","-249.7173","-123.6283","-126.0890"
"2023- 07- 28","70,600","71,800","72,400","70,100","19.00M","-1.53%","46.3031","-238.8960","-92.1060","-146.7900"
"2023- 07- 27","71,700","69,900","71,700","69,300","24.10M","2.72%","53.0448","-221.6094","-55.4085","-166.2008"
"2023- 07- 26","69,800","69,800","70,600","68,100","29.81M","-0.29%","38.7387","-308.3219","-13.8583","-294.4635"
"2023- 07- 25","70,000","70,000","70,500","69,800","13.47M","-0.57%","39.9277","-221.0593","59.7576","-280.8169"
"2023- 07- 24","70,400","70,100","70,900","69,900","13.27M","0.14%","42.3414","-126.8288","129.9618","-256.7906"
"2023- 07- 23","70,300","70,300","70,300","70,300","","0.00%","41.5207","-45.4389","194.1594","-239.5983"
"2023- 07- 21","70,300","70,400","70,400","69,400","16.50M","-0.99%","41.5207","69.2869","254.0590","-184.7721"
"2023- 07- 20","71,000","71,100","71,500","70,800","9.67M","-0.98%","45.4227","214.7110","300.2520","-85.5410"
"2023- 07- 19","71,700","72,700","72,800","71,300","10.82M","-0.42%","49.7655","325.9293","321.6373","4.2920"
"2023- 07- 18","72,000","73,200","73,500","72,000","11.26M","-1.77%","51.7339","391.8707","320.5643","71.3064"
"2023- 07- 17","73,300","73,200","73,500","72,800","10.04M","-0.14%","61.5260","439.7905","302.7376","137.0529"
"2023- 07- 16","73,400","73,400","73,400","73,400","","0.00%","62.3692","362.1930","268.4744","93.7186"
"2023- 07- 14","73,400","72,500","73,400","72,400","15.74M","2.09%","62.3692","247.7003","245.0448","2.6555"
"2023- 07- 13","71,900","72,400","72,600","71,900","14.39M","0.00%","54.2617","97.9631","244.3809","-146.4178"
"2023- 07- 12","71,900","71,200","72,000","71,100","10.20M","0.56%","54.2617","58.1463","280.9853","-222.8390"
"2023- 07- 11","71,500","70,200","71,500","70,100","12.12M","2.88%","51.8778","6.4799","336.6951","-330.2152"
"2023- 07- 10","69,500","70,000","70,400","69,200","11.55M","-0.57%","36.5154","-18.8323","419.2489","-438.0812"
"2023- 07- 09","69,900","69,900","69,900","69,900","","0.00%","38.8167","152.7705","528.7692","-375.9987"
"2023- 07- 07","69,900","71,100","71,400","69,800","17.23M","-2.37%","38.8167","328.8486","622.7689","-293.9202"
"2023- 07- 06","71,600","71,900","72,400","71,500","14.57M","-0.56%","50.4737","548.8051","696.2489","-147.4438"
"2023- 07- 05","72,000","73,000","73,300","71,900","11.64M","-1.37%","54.0181","648.4760","733.1099","-84.6338"
"2023- 07- 04","73,000","73,400","73,600","72,900","10.20M","0.00%","64.5388","725.5327","754.2683","-28.7356"
"2023- 07- 03","73,000","72,700","73,200","72,600","10.70M","1.11%","64.5388","711.5137","761.4522","-49.9385"
"2023- 07- 02","72,200","72,200","72,200","72,200","","0.00%","59.0353","683.2711","773.9368","-90.6658"
"2023- 06- 30","72,200","72,500","72,700","71,700","11.32M","-0.28%","59.0353","718.7392","796.6033","-77.8641"
"2023- 06- 29","72,400","73,100","73,400","72,400","12.19M","-0.41%","61.0787","753.5551","816.0693","-62.5142"
"2023- 06- 28","72,700","72,600","72,700","72,000","8.69M","0.14%","64.1724","766.6684","831.6979","-65.0295"
"2023- 06- 27","72,600","72,500","72,600","72,000","9.20M","0.28%","63.6018","741.7087","847.9552","-106.2465"
"2023- 06- 26","72,400","71,700","72,500","71,500","10.38M","1.12%","62.4923","709.2444","874.5169","-165.2725"
"2023- 06- 25","71,600","71,600","71,600","71,600","","0.00%","57.7036","677.8555","915.8350","-237.9795"
"2023- 06- 23","71,600","72,000","72,200","71,600","12.23M","0.42%","57.7036","709.3867","975.3299","-265.9432"
"2023- 06- 22","71,300","70,200","71,500","70,100","11.28M","1.13%","55.8823","739.3135","1041.8157","-302.5021"
"2023- 06- 21","70,500","70,700","71,200","70,400","10.50M","-1.26%","50.6169","797.3029","1117.4412","-320.1383"
"2023- 06- 20","71,400","70,700","71,400","70,400","11.52M","0.28%","57.8266","941.1759","1197.4758","-256.2999"
"2023- 06- 19","71,200","71,300","71,700","70,900","10.99M","-0.84%","56.5495","1019.4840","1261.5507","-242.0668"
"2023- 06- 18","71,800","71,800","71,800","71,800","","0.00%","61.7592","1124.9683","1322.0674","-197.0992"
"2023- 06- 16","71,800","71,800","71,900","70,900","14.27M","0.42%","61.7592","1182.1505","1371.3422","-189.1917"
"2023- 06- 15","71,500","72,100","72,300","71,300","13.13M","-0.56%","60.1776","1237.9410","1418.6401","-180.6992"
"2023- 06- 14","71,900","72,100","72,200","71,100","12.46M","-0.14%","63.4255","1321.6889","1463.8149","-142.1260"
"2023- 06- 13","72,000","71,700","72,200","71,600","12.87M","1.41%","64.2303","1368.6299","1499.3465","-130.7166"
"2023- 06- 12","71,000","72,100","72,400","70,800","12.01M","-1.39%","59.4530","1398.4544","1532.0256","-133.5712"
"2023- 06- 11","72,000","72,000","72,000","72,000","","0.00%","67.8700","1517.9985","1565.4184","-47.4199"
"2023- 06- 09","72,000","71,100","72,300","70,800","14.97M","1.55%","67.8700","1546.6820","1577.2734","-30.5914"
"2023- 06- 08","70,900","70,400","70,900","70,000","19.11M","-0.14%","62.8864","1560.7954","1584.9212","-24.1259"
"2023- 06- 07","71,000","71,300","71,600","70,800","14.72M","-0.98%","63.7208","1668.1067","1590.9527","77.1540"
"2023- 06- 06","71,700","71,700","71,700","71,700","","0.00%","69.7343","1770.6298","1571.6642","198.9656"
"2023- 06- 05","71,700","72,700","72,700","71,400","12.62M","-0.69%","69.7343","1804.4592","1521.9228","282.5364"
"2023- 06- 04","72,200","72,200","72,200","72,200","","0.00%","74.0376","1821.3912","1451.2887","370.1025"
"2023- 06- 02","72,200","71,700","72,200","71,600","11.72M","1.83%","74.0376","1765.6004","1358.7630","406.8374"
"2023- 06- 01","70,900","70,900","71,600","70,600","14.55M","-0.70%","69.8692","1668.7097","1257.0537","411.6560"
"2023- 05- 31","71,400","72,400","72,500","71,000","24.13M","-1.24%","74.1193","1653.1334","1154.1397","498.9937"
"2023- 05- 30","72,300","71,300","72,300","71,200","25.29M","2.84%","82.5081","1558.2977","1029.3913","528.9064"
"2023- 05- 29","70,300","70,300","70,300","70,300","","0.00%","77.1782","1322.9504","897.1647","425.7857"
"2023- 05- 26","70,300","69,800","70,400","69,500","19.47M","2.18%","77.1782","1206.9551","790.7182","416.2368"
"2023- 05- 25","68,800","69,900","70,000","68,700","14.10M","0.44%","71.5775","1041.3471","686.6590","354.6881"
"2023- 05- 24","68,500","68,100","68,700","68,000","8.05M","0.15%","70.2203","967.5516","597.9870","369.5646"
"2023- 05- 23","68,400","68,500","68,700","68,100","8.51M","-0.15%","69.7735","889.8337","505.5958","384.2378"
"2023- 05- 22","68,500","68,400","69,000","68,000","14.36M","0.15%","70.7593","787.8761","409.5364","378.3397"
"2023- 05- 21","68,400","68,400","68,400","68,400","","0.00%","70.3706","636.0993","314.9515","321.1478"
"2023- 05- 19","68,400","67,800","68,400","67,500","20.29M","3.32%","70.3706","443.3064","234.6645","208.6419"
"2023- 05- 18","66,200","66,000","66,200","65,700","14.36M","1.85%","60.3803","190.7844","182.5041","8.2804"
"2023- 05- 17","65,000","65,900","65,900","64,800","10.20M","-0.61%","52.2208","89.6995","180.4340","-90.7344"
"2023- 05- 16","65,400","65,800","65,900","65,300","12.19M","1.40%","55.7763","81.5556","203.1176","-121.5620"
"2023- 05- 15","64,500","64,100","64,600","63,900","8.13M","0.62%","48.4421","29.2474","233.5081","-204.2607"
"2023- 05- 14","64,100","64,100","64,100","64,100","","0.00%","44.6541","53.6940","284.5733","-230.8792"
"2023- 05- 12","64,100","63,700","64,600","63,600","7.53M","-0.16%","44.6541","124.8431","342.2931","-217.4500"
"2023- 05- 11","64,200","64,700","65,100","64,200","11.62M","-0.62%","45.3727","213.8393","396.6556","-182.8162"
