원본_행번호,날짜,종가,시가,고가,저가,거래량,외국인소진율,제외_사유
423,20180219,48380,49800,49800,47860,307069,52.25,before_2018_06_01
424,20180220,47400,48040,48160,47220,202452,52.23,before_2018_06_01
425,20180221,47280,47280,47580,46840,257604,52.22,before_2018_06_01
426,20180222,46760,47260,47260,46760,177399,52.22,before_2018_06_01
427,20180223,47220,46760,47800,46760,248466,52.2,before_2018_06_01
428,20180226,47380,47280,47560,47080,191213,52.18,before_2018_06_01
429,20180227,47380,48360,48380,47380,196611,52.17,before_2018_06_01
430,20180228,47060,47380,48100,47000,303247,52.18,before_2018_06_01
431,20180302,46020,46580,46800,46000,265310,52.12,before_2018_06_01
432,20180305,45200,45820,46160,45080,282019,52.09,before_2018_06_01
433,20180306,47020,45920,47100,45820,308467,52.11,before_2018_06_01
434,20180307,48620,48200,48900,47220,428541,52.2,before_2018_06_01
435,20180308,49200,49200,49480,48080,389273,52.23,before_2018_06_01
436,20180309,49740,49440,50540,49240,286088,52.25,before_2018_06_01
437,20180312,49740,50560,50780,49580,173779,52.26,before_2018_06_01
438,20180313,51660,50760,51660,50360,401974,52.37,before_2018_06_01
439,20180314,51760,51020,52000,51000,254265,52.38,before_2018_06_01
440,20180315,51540,52000,52020,51020,177649,52.39,before_2018_06_01
441,20180316,51140,51220,51420,50240,243698,52.41,before_2018_06_01
442,20180319,50740,50620,51340,50440,164377,52.4,before_2018_06_01
443,20180320,51200,50700,51200,50100,163865,52.39,before_2018_06_01
444,20180321,51060,51780,51780,51060,178104,52.38,before_2018_06_01
445,20180322,51780,51060,51780,51040,169082,52.39,before_2018_06_01
446,20180323,49720,50340,50720,49600,297099,52.36,before_2018_06_01
447,20180326,50280,49420,50280,49040,201155,52.35,before_2018_06_01
448,20180327,49980,50320,50460,49080,237480,52.34,before_2018_06_01
449,20180328,48700,49100,49100,48340,303189,52.31,before_2018_06_01
450,20180329,49040,48700,49560,48320,201340,52.28,before_2018_06_01
451,20180330,49220,49080,49900,49080,155542,52.25,before_2018_06_01
452,20180402,48540,49000,49220,48500,142313,52.23,before_2018_06_01
453,20180403,48120,47880,48140,47280,255365,52.22,before_2018_06_01
454,20180404,46920,48160,48260,46920,247684,52.18,before_2018_06_01
455,20180405,48740,47400,49380,47340,264912,52.17,before_2018_06_01
456,20180406,48400,48000,48580,47400,250654,52.16,before_2018_06_01
457,20180409,49200,48260,49440,48200,199008,52.15,before_2018_06_01
458,20180410,48880,48540,49220,48040,219687,52.13,before_2018_06_01
459,20180411,48860,49900,49900,48600,201022,52.14,before_2018_06_01
460,20180412,49000,49440,49440,48880,249325,52.17,before_2018_06_01
461,20180413,49800,49600,50180,49400,205566,52.2,before_2018_06_01
462,20180416,50340,50320,50600,49860,157549,52.22,before_2018_06_01
463,20180417,49980,50240,50540,49820,155440,52.2,before_2018_06_01
464,20180418,51360,51000,51360,50580,269252,52.25,before_2018_06_01
465,20180419,52780,52000,52980,51540,343811,52.32,before_2018_06_01
466,20180420,51620,51800,52260,51420,235220,52.27,before_2018_06_01
467,20180423,51900,51000,52080,51000,232380,52.24,before_2018_06_01
468,20180424,50460,51840,51860,50080,315406,52.17,before_2018_06_01
469,20180425,50400,49220,50500,49220,332292,52.07,before_2018_06_01
470,20180426,52140,50420,52160,50400,360931,52.1,before_2018_06_01
471,20180427,53000,53380,53639,52440,606216,52.06,before_2018_06_01
472,20180430,53000,0,0,0,0,52.06,nonpositive_price;before_2018_06_01;nonpositive_volume;invalid_ohlc
473,20180502,53000,0,0,0,0,52.06,nonpositive_price;before_2018_06_01;nonpositive_volume;invalid_ohlc
474,20180503,53000,0,0,0,0,0.0,nonpositive_price;before_2018_06_01;nonpositive_volume;invalid_ohlc
475,20180504,51900,53000,53900,51800,39565391,52.79,before_2018_06_01
476,20180508,52600,52600,53200,51900,23104720,52.81,before_2018_06_01
477,20180509,50900,52600,52800,50900,16128305,52.78,before_2018_06_01
478,20180510,51600,51700,51700,50600,13905263,52.77,before_2018_06_01
479,20180511,51300,52000,52200,51200,10314997,52.77,before_2018_06_01
480,20180514,50100,51000,51100,49900,14909272,52.74,before_2018_06_01
481,20180515,49200,50200,50400,49100,18709146,52.72,before_2018_06_01
482,20180516,49850,49200,50200,49150,15918683,52.74,before_2018_06_01
483,20180517,49400,50300,50500,49400,10365440,52.7,before_2018_06_01
484,20180518,49500,49900,49900,49350,6706570,52.69,before_2018_06_01
485,20180521,50000,49650,50200,49100,9020998,52.69,before_2018_06_01
486,20180523,51800,50600,52000,50400,17095490,52.7,before_2018_06_01
487,20180524,51400,52000,52000,51100,8289275,52.69,before_2018_06_01
488,20180525,52700,51000,52800,50800,15207266,52.76,before_2018_06_01
489,20180528,52300,52500,53000,52000,9787820,52.76,before_2018_06_01
490,20180529,51300,52200,52500,51300,8480437,52.75,before_2018_06_01
491,20180530,49500,51300,51500,49100,20498098,52.68,before_2018_06_01
492,20180531,50700,50400,50800,49850,63491109,53.03,before_2018_06_01
